qid,uid,label
31934b8fd88945cadfadb0ba33597824,925be98f345b64e6d26009b2bab71db3,0.820003
f50f860c27d70261250f96720917c5c0,4df567582a5fe9c702b49b743918c7b8,0.976551
86cfe84c39d412cf9c20d8ed21ff9ede,b1d484056eff02ecbf38951e8796c6d2,0.00290175
7d659b22782f934e15c0a989c180911c,d553db688fd070bcc9edde91735bac3a,0.0722663
cd6550412023768008c6576f8dabe12b,8a8fc09ac14c2e33d721d920af6d079e,0.0708554
e5236ae93c7f86abb55f660cd348d6cd,ec3102ba2607734a2e45c0a3a2039510,1.19739e-09
8f36cfc717dc2aa126bcb88372fa026d,12ac1c103856ed95799862afaa5be763,0.956387
d52a7277414139f47a6c99f506988066,5e7f9017ed835fc9d612099927e79e35,0.993271
04e6acfc5639607e14895df879bb0bb9,193fd53fcdb793b1b8a57f9f311b8bdd,0.840514
ed4366df8f0d247a32c6ae70003e75d4,4b2633ab46267d22f2a8e58c0ac86248,0.961549
e41c1cd63f5fec42611afa9aa0efd1e8,28565d8e6559ddc54d2860d130f489cc,0.000280384
8cc470e1c655b5bbf6e8684509b44205,406e27b02271bc77a68b2a7594cc8aa8,0.951651
0653a9c6afe12f3802352a74e73b9789,7806cfbe3080d5c2283414a35b4e34ab,0.000821529
6131141d41c1540512e852a08e6a9261,657071ba3f659277ec9eb13bf983cd88,0.99272
c8128493f5c833fbda279d9f1fc39d31,64f9f7aea81c820f89b4fa0bc6c5249d,0.965543
77e95c2cb5dbc545887d2442aa4705aa,8952c6f73a8279595b38491d89277f8c,0.625344
5e57e9bcbe111e4bf06c607bab1b8d02,3947e4a2b976de6a5105465203aa9ddc,7.40873e-05
5c4bfefca806b978dc4b3ffa03f94340,c2f2720441d3e92bd6d2c311f91db1cb,0.0285518
8d99ff8cb9be35c021bd53b7b631dd1c,70bb201283097d15f06e549af990e9be,0.00012338
af3a586a2d66bedb945dbe1f6580986e,e437375e3d4742691de7c60699b2a4f4,8.75668e-05
6d059feccace29c28ab798ecabe9c05c,0ed373b971b231809bbb30429757e793,0.0013476
df975952f834068a1fb8b69459e7d54e,d6115e97a05fd6cc98c5a84281b8299e,0.995895
a9f3039523dbd304fb5a45c5235776f4,0242f93a7fc9f37d8810df8ecc9f33ee,0.691088
5e57e9bcbe111e4bf06c607bab1b8d02,b742d4d60ef06aae7ca39cb0739e33b7,0.000679205
b471b9f699033b3a0466740eec156c28,ec3102ba2607734a2e45c0a3a2039510,0.97071
0a2eea38910e492a00b39e4d90060dbc,7647ef1a2345f32d00403ad5fec67bd5,0.0213817
fce6dc6b19054a44f4b0c2f23e26fe0d,bac5a30faeb978530316f9ea5bb2eb25,0.838684
e7bbcd70b504f7f29cc7ce7b262b5b0d,4541fe6edf821e983ab931b816fc6481,0.0111072
5a930bd0d8abbf271b02f85c497fb637,0e26abd16b6a294b1d5f89c6f4ab0f70,0.828598
b823ddee3f0cc347e4993e27db1a55c8,72af9b1eb83d3dd333e3569883ff35af,0.0176842
85963a38db0e4fe06037c83eb43ebe85,d06dc8ace75417a84c4c9e9dcbb3a20b,0.796177
c6268bee5f892de25f3d169e2ef060c1,9638e97d3360a18997ea67d9755f9652,0.50007
69a017fb7e5a02a803e808c3c281c602,3ce771e4a0a52ef91605c9c0bd485dbf,0.979925
e3bca8c4fe1ebfa039c6dbe3c7177082,d84ad90037d22b813df26a8a80ee205a,0.00800605
c3e808b571fbb0908c764bebe94961cb,ad3e209a642a4e1130b361585ce9fe63,0.930094
