qid,uid,label
31934b8fd88945cadfadb0ba33597824,925be98f345b64e6d26009b2bab71db3,0.803943
f50f860c27d70261250f96720917c5c0,4df567582a5fe9c702b49b743918c7b8,0.00716369
86cfe84c39d412cf9c20d8ed21ff9ede,b1d484056eff02ecbf38951e8796c6d2,0.027682
7d659b22782f934e15c0a989c180911c,d553db688fd070bcc9edde91735bac3a,0.0437271
cd6550412023768008c6576f8dabe12b,8a8fc09ac14c2e33d721d920af6d079e,0.600671
e5236ae93c7f86abb55f660cd348d6cd,ec3102ba2607734a2e45c0a3a2039510,2.62344e-07
8f36cfc717dc2aa126bcb88372fa026d,12ac1c103856ed95799862afaa5be763,0.960862
d52a7277414139f47a6c99f506988066,5e7f9017ed835fc9d612099927e79e35,0.953946
04e6acfc5639607e14895df879bb0bb9,193fd53fcdb793b1b8a57f9f311b8bdd,0.415544
ed4366df8f0d247a32c6ae70003e75d4,4b2633ab46267d22f2a8e58c0ac86248,0.209162
e41c1cd63f5fec42611afa9aa0efd1e8,28565d8e6559ddc54d2860d130f489cc,0.883459
8cc470e1c655b5bbf6e8684509b44205,406e27b02271bc77a68b2a7594cc8aa8,0.0830491
0653a9c6afe12f3802352a74e73b9789,7806cfbe3080d5c2283414a35b4e34ab,0.0098285
6131141d41c1540512e852a08e6a9261,657071ba3f659277ec9eb13bf983cd88,0.988591
c8128493f5c833fbda279d9f1fc39d31,64f9f7aea81c820f89b4fa0bc6c5249d,0.453499
77e95c2cb5dbc545887d2442aa4705aa,8952c6f73a8279595b38491d89277f8c,0.821139
5e57e9bcbe111e4bf06c607bab1b8d02,3947e4a2b976de6a5105465203aa9ddc,0.834796
5c4bfefca806b978dc4b3ffa03f94340,c2f2720441d3e92bd6d2c311f91db1cb,0.152209
8d99ff8cb9be35c021bd53b7b631dd1c,70bb201283097d15f06e549af990e9be,0.527937
af3a586a2d66bedb945dbe1f6580986e,e437375e3d4742691de7c60699b2a4f4,0.701268
6d059feccace29c28ab798ecabe9c05c,0ed373b971b231809bbb30429757e793,0.222518
df975952f834068a1fb8b69459e7d54e,d6115e97a05fd6cc98c5a84281b8299e,0.990329
a9f3039523dbd304fb5a45c5235776f4,0242f93a7fc9f37d8810df8ecc9f33ee,0.198258
5e57e9bcbe111e4bf06c607bab1b8d02,b742d4d60ef06aae7ca39cb0739e33b7,0.0799453
b471b9f699033b3a0466740eec156c28,ec3102ba2607734a2e45c0a3a2039510,4.6835e-05
0a2eea38910e492a00b39e4d90060dbc,7647ef1a2345f32d00403ad5fec67bd5,0.460232
fce6dc6b19054a44f4b0c2f23e26fe0d,bac5a30faeb978530316f9ea5bb2eb25,0.135735
e7bbcd70b504f7f29cc7ce7b262b5b0d,4541fe6edf821e983ab931b816fc6481,0.0804377
5a930bd0d8abbf271b02f85c497fb637,0e26abd16b6a294b1d5f89c6f4ab0f70,0.867638
b823ddee3f0cc347e4993e27db1a55c8,72af9b1eb83d3dd333e3569883ff35af,0.0265325
85963a38db0e4fe06037c83eb43ebe85,d06dc8ace75417a84c4c9e9dcbb3a20b,0.637249
c6268bee5f892de25f3d169e2ef060c1,9638e97d3360a18997ea67d9755f9652,0.0224124
69a017fb7e5a02a803e808c3c281c602,3ce771e4a0a52ef91605c9c0bd485dbf,0.0270662
e3bca8c4fe1ebfa039c6dbe3c7177082,d84ad90037d22b813df26a8a80ee205a,0.773595
c3e808b571fbb0908c764bebe94961cb,ad3e209a642a4e1130b361585ce9fe63,0.706852
73484f083468523e11df7d68df512210,88e8fa25b6e167141812bb7b88bf2fd2,0.0186112
db6f0991f65963d2410a9ea7e4e3e9d6,5f903699abe43fd527564c5098343684,0.0100802
16d7f9888eb50648b352c5b4cb3b1a56,5e0ba8743dd731f22c10b0346d9dab15,0.307847
35a567fdecb3a006ee9d2740cfc991a3,129a4331a84cba8178dcc4e27387df0d,0.115068
aa0f11110b8ff3b1eadb41cf2bef657a,865b0fbc5a4ffeea348ee979cead2042,0.18417
fcf724e25796a9d08889838c9ef31e5e,a6de482a0d405cac01b937109f047656,0.981702
c88c1dc7e7c4952b3c35f2ae53b5e18f,831d57790db1d7288e89199177c11d3a,0.00277276
a9f3039523dbd304fb5a45c5235776f4,939b24753f3158f897cd3c9ec6861061,0.191604
25d769e0ee4a62e21950f36dc1bedf6f,d42dd42a12d9f161dc59ec5d1247dd72,0.861199
2f2f617f6a9af9d28564691ff7787f00,7845ea4e95deb02d4bd5216ae230e554,0.0551808
7cc1677d5bfb156dfe91ddae87d636f5,7e0f5c84e83d9eadc6fd8dcdc19397af,0.066733
fb5b821bb303941594b13b371fd3e7d1,a0873a62adf5cb2142a5dda078b935c8,0.120931
cae59e839c4b6e105ff6c7d03867bee6,f51eb0d0fd7db3ad4466a1624a1a161d,0.27463
